,UnitloadID,No_of_Transmission,Arrival_TimeStamp,Departure_TimeStamp,SecondTimeStamp,GatewayID_1,GatewayID_2,GatewayType_1,GatewayType_2
0,U001,589,13.11.2018 19:06,21.10.2018 02:30,22.10.2018 09:00,866191036179554,866191036179554,Mobile,Mobile
1,U002,1163,27.11.2018 13:57,29.10.2018 09:30,29.10.2018 10:30,866191036057545,866191036057545,Mobile,Mobile
2,U003,1279,27.11.2018 14:00,29.10.2018 09:30,29.10.2018 10:30,866191036057545,866191036057545,Mobile,Mobile
3,U004,1379,27.11.2018 13:57,29.10.2018 10:00,29.10.2018 10:30,866191036057545,866191036057545,Mobile,Mobile
4,U005,551,29.11.2018 19:00,01.11.2018 15:12,08.11.2018 19:00,866191036144046,866191036039592,Location,Mobile
5,U006,985,29.11.2018 19:00,05.11.2018 19:00,05.11.2018 19:30,866191036039592,866191036039592,Mobile,Mobile
6,U007,930,29.11.2018 19:00,05.11.2018 19:00,05.11.2018 19:30,866191036039592,866191036039592,Mobile,Mobile
7,U008,2,07.12.2018 16:24,07.11.2018 11:21,07.12.2018 16:24,866191036144046,866191036058931,Location,Location
8,U009,396,06.12.2018 17:51,09.11.2018 14:30,18.11.2018 17:30,866191036058725,866191036058725,Mobile,Mobile
9,U010,2,06.12.2018 18:39,08.11.2018 10:54,06.12.2018 18:39,866191036144046,866191036058931,Location,Location
10,U011,444,06.02.2019 17:27,08.01.2019 15:00,12.01.2019 09:00,866191036057180,866191036057180,Mobile,Mobile
11,U012,352,06.12.2018 17:30,08.11.2018 15:00,18.11.2018 16:30,866191036057180,866191036057180,Mobile,Mobile
12,U013,395,06.12.2018 17:27,08.11.2018 15:00,18.11.2018 16:30,866191036057180,866191036057180,Mobile,Mobile
13,U014,528,06.12.2018 17:27,08.11.2018 15:18,18.11.2018 16:30,866191036144046,866191036057180,Location,Mobile
14,U015,549,06.12.2018 17:30,08.11.2018 15:21,18.11.2018 16:30,866191036144046,866191036057180,Location,Mobile
15,U016,414,06.12.2018 17:30,08.11.2018 15:30,12.11.2018 08:00,866191036057180,866191036057180,Mobile,Mobile
16,U017,385,06.12.2018 17:30,08.11.2018 15:30,12.11.2018 09:00,866191036057180,866191036057180,Mobile,Mobile
17,U018,739,06.12.2018 17:27,08.11.2018 15:30,18.11.2018 16:30,866191036057180,866191036057180,Mobile,Mobile
18,U019,893,06.12.2018 17:27,11.11.2018 16:00,12.11.2018 09:00,866191036057180,866191036057180,Mobile,Mobile
19,U020,439,06.12.2018 17:30,12.11.2018 07:30,12.11.2018 08:00,866191036057180,866191036057180,Mobile,Mobile
20,U021,1109,13.12.2018 11:30,16.11.2018 07:36,16.11.2018 08:00,866191036144046,866191036200301,Location,Mobile
21,U022,658,14.12.2018 15:30,23.11.2018 13:00,23.11.2018 15:30,866191036038123,866191036038123,Mobile,Mobile
22,U023,1011,14.12.2018 15:30,23.11.2018 13:30,23.11.2018 14:00,866191036038123,866191036038123,Mobile,Mobile
23,U024,1011,14.12.2018 15:30,23.11.2018 13:30,23.11.2018 14:00,866191036038123,866191036038123,Mobile,Mobile
24,U025,1011,14.12.2018 15:30,23.11.2018 13:30,23.11.2018 14:00,866191036038123,866191036038123,Mobile,Mobile
25,U026,1011,14.12.2018 15:30,23.11.2018 13:30,23.11.2018 14:00,866191036038123,866191036038123,Mobile,Mobile
26,U027,1008,14.12.2018 15:30,23.11.2018 13:30,23.11.2018 14:00,866191036038123,866191036038123,Mobile,Mobile
27,U028,1004,14.12.2018 15:30,23.11.2018 13:30,23.11.2018 14:00,866191036038123,866191036038123,Mobile,Mobile
28,U029,1005,14.12.2018 15:30,23.11.2018 13:30,23.11.2018 14:00,866191036038123,866191036038123,Mobile,Mobile
29,U030,987,14.12.2018 15:30,23.11.2018 13:30,23.11.2018 14:00,866191036038123,866191036038123,Mobile,Mobile
30,U031,1006,14.12.2018 15:30,23.11.2018 13:30,23.11.2018 14:00,866191036038123,866191036038123,Mobile,Mobile
31,U032,1011,14.12.2018 15:30,23.11.2018 13:30,23.11.2018 14:00,866191036038123,866191036038123,Mobile,Mobile
32,U033,1008,14.12.2018 15:30,23.11.2018 13:30,23.11.2018 14:00,866191036038123,866191036038123,Mobile,Mobile
33,U034,1011,14.12.2018 15:30,23.11.2018 13:30,23.11.2018 14:00,866191036038123,866191036038123,Mobile,Mobile
34,U035,1010,14.12.2018 15:30,23.11.2018 13:30,23.11.2018 14:00,866191036038123,866191036038123,Mobile,Mobile
35,U036,999,14.12.2018 15:30,23.11.2018 13:30,23.11.2018 14:00,866191036038123,866191036038123,Mobile,Mobile
36,U037,1005,14.12.2018 15:30,23.11.2018 13:30,23.11.2018 14:00,866191036038123,866191036038123,Mobile,Mobile
37,U038,1003,14.12.2018 15:30,23.11.2018 13:30,23.11.2018 14:00,866191036038123,866191036038123,Mobile,Mobile
38,U039,1010,14.12.2018 15:30,23.11.2018 13:30,23.11.2018 14:00,866191036038123,866191036038123,Mobile,Mobile
39,U040,1011,14.12.2018 15:30,23.11.2018 13:30,23.11.2018 14:00,866191036038123,866191036038123,Mobile,Mobile
40,U041,1007,14.12.2018 15:30,23.11.2018 13:30,23.11.2018 14:00,866191036038123,866191036038123,Mobile,Mobile
